PriceList,ITEM,Price
UFCA 1711E V4,3070-431-13,170
UFCA 1711E V4,3070-432-13,210
UFCA 1711E V4,3070-450-13,390
UFCA 1711E V4,3070-451-13,650
UFCA 1711E V4,3070-456-13,120
UFCA 1711E V4,3070-457-13,145
UFCA 1711E V4,6020-430-12,60
UFCA 1711E V4,6020-422-12,180
UFCA 1711E V4,6020-401-13,190
UFCA 1711E V4,6020-430-13,150
UFCA 1711E V4,6020-460-13,205
UFCA 1711E V4,6020-411-13,220
UFCA 1711E V4,6020-418-13,100
UFCA 1711E V4,6020-424-13,225
UFCA 1711E V4,6020-412-13,220
UFCA 1711E V4,6020-419-13,100
UFCA 1711E V4,6020-425-13,245
UFCA 1711E V4,6020-412-13,220
UFCA 1711E V4,6020-420-13,130
UFCA 1711E V4,6020-426-13,335
UFCA 1711E V4,6020-421-13,335
UFCA 1711E V4,6020-422-13,335
UFCA 1711E V4,6080-431-13,195
UFCA 1711E V4,6080-437-13,850
UFCA 1711E V4,6080-451-13,900
UFCA 1711E V4,7040-401-15,240
UFCA 1711E V4,7040-431-15,215
UFCA 1711E V4,7040-432-15,170
UFCA 1711E V4,7040-437-15,725
UFCA 1711E V4,7040-449-15,875
UFCA 1711E V4,7040-450-15,575
UFCA 1711E V4,7040-451-15,950
UFCA 1711E V4,7040-404-15,570
UFCA 1711E V4,7040-414-15,370
UFCA 1711E V4,7040-405-15,570
UFCA 1711E V4,7040-415-15,440
UFCA 1711E V4,7040-406-15,570
UFCA 1711E V4,7040-416-15,540
UFCA 1711E V4,7040-431-65,215
UFCA 1711E V4,7040-432-65,170
UFCA 1711E V4,7040-437-65,725
UFCA 1711E V4,7040-449-65,875
UFCA 1711E V4,7040-450-65,575
UFCA 1711E V4,7040-451-65,950
UFCA 1711E V4,7040-404-15,570
UFCA 1711E V4,7040-414-15,370
UFCA 1711E V4,7040-405-15,570
UFCA 1711E V4,7040-415-15,440
UFCA 1711E V4,7040-406-15,570
UFCA 1711E V4,7040-416-15,540
UFCA 1711E V4,7120-437-40,245
UFCA 1711E V4,7120-432-SS,10
UFCA 1711E V4,7130-401-4,190
UFCA 1711E V4,7130-430-4,200
UFCA 1711E V4,7130-432-4,245
UFCA 1711E V4,7130-437-4,800
UFCA 1711E V4,7130-438-4,145
UFCA 1711E V4,7130-439-4,170
UFCA 1711E V4,7130-450-4,600
UFCA 1711E V4,7130-451-4,925
UFCA 1711E V4,7130-403-4,110
UFCA 1711E V4,7130-413-4,175
UFCA 1711E V4,7130-423-4,90
UFCA 1711E V4,7130-403-4,110
UFCA 1711E V4,7130-414-4,210
UFCA 1711E V4,7130-424-4,100
UFCA 1711E V4,7130-405-4,100
UFCA 1711E V4,7130-415-4,230
UFCA 1711E V4,7130-425-4,120
UFCA 1711E V4,7130-405-4,100
UFCA 1711E V4,7130-416-4,280
UFCA 1711E V4,7130-426-4,165
UFCA 1711E V4,7130-401-13,220
UFCA 1711E V4,7130-430-13,220
UFCA 1711E V4,7130-432-13,260
UFCA 1711E V4,7130-437-13,800
UFCA 1711E V4,7130-438-13,155
UFCA 1711E V4,7130-439-13,180
UFCA 1711E V4,7130-450-13,625
UFCA 1711E V4,7130-451-13,950
UFCA 1711E V4,7130-403-13,140
UFCA 1711E V4,7130-413-13,200
UFCA 1711E V4,7130-423-13,100
UFCA 1711E V4,7130-403-13,140
UFCA 1711E V4,7130-414-13,230
UFCA 1711E V4,7130-424-13,120
UFCA 1711E V4,7130-405-13,140
UFCA 1711E V4,7130-415-13,250
UFCA 1711E V4,7130-425-13,140
