PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-16,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-16,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-16,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-16,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-16,F,1580,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-16,I,1730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,10,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,20,870,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,30,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,40,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,50,980,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,60,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,70,1130,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,F,1680,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-17,I,1830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,10,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,20,870,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,30,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,40,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,50,980,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,60,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,70,1130,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,F,1680,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-18,I,1830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,10,730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,30,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,F,1410,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-35,I,1530,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,10,730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,30,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,F,1410,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-36,I,1530,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,10,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,20,990,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,30,1020,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,40,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,50,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,60,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,70,1300,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,F,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-86,I,1950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,10,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,20,990,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,30,1020,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,40,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,50,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,60,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,70,1300,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,F,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-87,I,1950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,10,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,20,890,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,30,920,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,40,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,50,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,60,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,70,1200,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,F,1700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-92,I,1850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,10,400,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,20,420,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,30,435,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,40,455,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,50,475,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,60,495,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,70,515,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,F,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30159-94,I,735,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,10,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,20,765,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,30,795,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,40,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,50,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,60,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,70,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,F,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SC,I,1225,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,10,475,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,20,515,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,30,545,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,40,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,50,625,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,60,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,70,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,F,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-SS,I,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,10,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,20,815,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,30,845,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,40,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,50,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,60,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,70,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,F,1200,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DC,I,1275,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,10,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,20,615,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,30,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,40,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,50,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,60,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,70,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,F,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DS,I,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,10,550,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,20,590,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,30,620,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,40,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,50,700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,60,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,70,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,F,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DR,I,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,10,550,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,20,590,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,30,620,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,40,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,50,700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,60,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,70,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,F,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DL,I,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,10,525,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,20,565,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,30,595,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,40,625,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,50,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,60,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,70,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,F,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-DA,I,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,10,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,20,840,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,30,870,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,40,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,50,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,60,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,70,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,F,1225,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QC,I,1300,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,10,600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,20,640,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,30,670,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,40,700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,50,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,60,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,70,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,F,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QS,I,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,10,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,20,615,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,30,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,40,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,50,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,60,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,70,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,F,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QR,I,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,10,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,20,615,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,30,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,40,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,50,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,60,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,70,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,F,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QL,I,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,10,550,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,20,590,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,30,620,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,40,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,50,700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,60,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,70,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,F,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-QA,I,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,10,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,20,1090,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,30,1120,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,40,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,50,1200,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,60,1250,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,70,1400,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,F,1900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-01,I,2050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,10,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,20,670,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,30,685,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,40,705,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,50,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,60,745,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,70,815,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,F,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-02,I,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,10,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,20,965,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,30,995,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,40,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,50,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,60,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,70,1275,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,F,1775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-03,I,1925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,10,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,20,865,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,30,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,40,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,50,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,60,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,70,1175,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,F,1675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-07,I,1825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,10,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,20,865,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,30,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,40,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,50,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,60,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,70,1175,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,F,1675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-08,I,1825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,10,550,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,20,570,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,30,585,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,40,620,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,50,655,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,60,690,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,70,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,F,1145,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-09,I,1250,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,10,525,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,20,545,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,30,560,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,40,580,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,50,600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,60,620,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,70,690,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,F,865,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-10,I,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,10,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,20,595,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,30,610,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,40,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,50,680,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,60,715,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,70,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,F,1170,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-11,I,1275,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,10,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,20,595,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,30,610,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,40,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,50,680,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,60,715,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,70,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,F,1170,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-12,I,1275,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,10,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,30,785,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,40,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,50,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,60,840,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,70,960,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,F,1430,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-14,I,1550,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,10,730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,30,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,F,1580,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-15,I,1730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,10,730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,30,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,F,1580,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-16,I,1730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,10,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,20,870,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,30,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,40,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,50,980,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,60,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,70,1130,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,F,1680,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-17,I,1830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,10,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,20,870,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,30,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,40,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,50,980,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,60,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,70,1130,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,F,1680,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-18,I,1830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,10,730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,30,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,F,1410,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-35,I,1530,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,10,730,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,20,770,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,30,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,40,830,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,50,880,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,60,930,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,70,1030,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,F,1410,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-36,I,1530,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,10,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,20,990,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,30,1020,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,40,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,50,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,60,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,70,1300,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,F,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-86,I,1950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,10,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,20,990,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,30,1020,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,40,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,50,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,60,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,70,1300,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,F,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-87,I,1950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,10,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,20,890,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,30,920,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,40,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,50,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,60,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,70,1200,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,F,1700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-92,I,1850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-94,10,400,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-94,20,420,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-94,30,435,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30160-94,40,455,,,,,,,,,,,,,,,,,,
