PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,10,450,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,20,490,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,30,520,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,40,550,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,50,600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,60,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,70,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,F,1300,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-16,I,1450,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,10,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,20,790,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,30,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,40,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,50,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,60,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,70,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,F,1600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-21,I,1750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,10,395,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,20,415,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,30,430,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,40,445,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,50,465,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,60,485,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,70,505,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,F,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-30,I,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,10,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,20,685,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,30,715,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,40,745,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,50,795,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,60,845,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,70,945,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,F,1495,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-86,I,1645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,10,645,,,,,,,,,,,,,,,,,,
