,PriceList,Catalog,GradeGroup,Price
140,UFCA 1711E V4,30024-94,40,455
141,UFCA 1711E V4,30024-94,50,475
142,UFCA 1711E V4,30024-94,60,495
144,UFCA 1711E V4,30024-94,F,675
145,UFCA 1711E V4,30024-94,I,735
146,UFCA 1711E V4,30024-94,41,455
147,UFCA 1711E V4,30024-94,42,475
148,UFCA 1711E V4,30095-01,10,850
149,UFCA 1711E V4,30095-01,20,890
150,UFCA 1711E V4,30095-01,30,920
151,UFCA 1711E V4,30095-01,40,950
152,UFCA 1711E V4,30095-01,50,1000
153,UFCA 1711E V4,30095-01,60,1050
155,UFCA 1711E V4,30095-01,F,1700
156,UFCA 1711E V4,30095-01,I,1900
157,UFCA 1711E V4,30095-02,10,400
158,UFCA 1711E V4,30095-02,20,420
159,UFCA 1711E V4,30095-02,30,435
160,UFCA 1711E V4,30095-02,40,455
161,UFCA 1711E V4,30095-02,50,475
162,UFCA 1711E V4,30095-02,60,495
164,UFCA 1711E V4,30095-02,F,825
165,UFCA 1711E V4,30095-02,I,900
166,UFCA 1711E V4,30095-03,10,800
167,UFCA 1711E V4,30095-03,20,840
168,UFCA 1711E V4,30095-03,30,870
169,UFCA 1711E V4,30095-03,40,900
170,UFCA 1711E V4,30095-03,50,950
171,UFCA 1711E V4,30095-03,60,1000
173,UFCA 1711E V4,30095-03,F,1650
174,UFCA 1711E V4,30095-03,I,1850
175,UFCA 1711E V4,30095-04,10,325
176,UFCA 1711E V4,30095-04,20,345
177,UFCA 1711E V4,30095-04,30,360
178,UFCA 1711E V4,30095-04,40,380
179,UFCA 1711E V4,30095-04,50,400
180,UFCA 1711E V4,30095-04,60,420
182,UFCA 1711E V4,30095-04,F,665
183,UFCA 1711E V4,30095-04,I,725
184,UFCA 1711E V4,30095-07,10,750
185,UFCA 1711E V4,30095-07,20,790
186,UFCA 1711E V4,30095-07,30,820
187,UFCA 1711E V4,30095-07,40,850
188,UFCA 1711E V4,30095-07,50,900
189,UFCA 1711E V4,30095-07,60,950
191,UFCA 1711E V4,30095-07,F,1600
192,UFCA 1711E V4,30095-07,I,1800
193,UFCA 1711E V4,30095-08,10,750
194,UFCA 1711E V4,30095-08,20,790
195,UFCA 1711E V4,30095-08,30,820
196,UFCA 1711E V4,30095-08,40,850
197,UFCA 1711E V4,30095-08,50,900
198,UFCA 1711E V4,30095-08,60,950
200,UFCA 1711E V4,30095-08,F,1600
201,UFCA 1711E V4,30095-08,I,1800
202,UFCA 1711E V4,30095-15,10,750
203,UFCA 1711E V4,30095-15,20,790
204,UFCA 1711E V4,30095-15,30,820
205,UFCA 1711E V4,30095-15,40,850
206,UFCA 1711E V4,30095-15,50,900
207,UFCA 1711E V4,30095-15,60,950
209,UFCA 1711E V4,30095-15,F,1600
210,UFCA 1711E V4,30095-15,I,1800
211,UFCA 1711E V4,30095-16,10,750
212,UFCA 1711E V4,30095-16,20,790
213,UFCA 1711E V4,30095-16,30,820
214,UFCA 1711E V4,30095-16,40,850
215,UFCA 1711E V4,30095-16,50,900
216,UFCA 1711E V4,30095-16,60,950
218,UFCA 1711E V4,30095-16,F,1600
219,UFCA 1711E V4,30095-16,I,1800
220,UFCA 1711E V4,30095-17,10,775
221,UFCA 1711E V4,30095-17,20,815
222,UFCA 1711E V4,30095-17,30,845
223,UFCA 1711E V4,30095-17,40,875
224,UFCA 1711E V4,30095-17,50,925
225,UFCA 1711E V4,30095-17,60,975
227,UFCA 1711E V4,30095-17,F,1625
228,UFCA 1711E V4,30095-17,I,1825
229,UFCA 1711E V4,30095-18,10,775
230,UFCA 1711E V4,30095-18,20,815
231,UFCA 1711E V4,30095-18,30,845
232,UFCA 1711E V4,30095-18,40,875
233,UFCA 1711E V4,30095-18,50,925
234,UFCA 1711E V4,30095-18,60,975
236,UFCA 1711E V4,30095-18,F,1625
237,UFCA 1711E V4,30095-18,I,1825
238,UFCA 1711E V4,30095-24,10,350
239,UFCA 1711E V4,30095-24,20,370
240,UFCA 1711E V4,30095-24,30,385
241,UFCA 1711E V4,30095-24,40,405
242,UFCA 1711E V4,30095-24,50,425
243,UFCA 1711E V4,30095-24,60,445
245,UFCA 1711E V4,30095-24,F,690
246,UFCA 1711E V4,30095-24,I,750
247,UFCA 1711E V4,30095-86,10,925
248,UFCA 1711E V4,30095-86,20,965
249,UFCA 1711E V4,30095-86,30,995
250,UFCA 1711E V4,30095-86,40,1025
251,UFCA 1711E V4,30095-86,50,1075
252,UFCA 1711E V4,30095-86,60,1125
254,UFCA 1711E V4,30095-86,F,1775
255,UFCA 1711E V4,30095-86,I,1975
256,UFCA 1711E V4,30095-87,10,925
257,UFCA 1711E V4,30095-87,20,965
258,UFCA 1711E V4,30095-87,30,995
259,UFCA 1711E V4,30095-87,40,1025
260,UFCA 1711E V4,30095-87,50,1075
261,UFCA 1711E V4,30095-87,60,1125
263,UFCA 1711E V4,30095-87,F,1775
264,UFCA 1711E V4,30095-87,I,1975
265,UFCA 1711E V4,30095-91,10,825
266,UFCA 1711E V4,30095-91,20,865
267,UFCA 1711E V4,30095-91,30,895
268,UFCA 1711E V4,30095-91,40,925
269,UFCA 1711E V4,30095-91,50,975
270,UFCA 1711E V4,30095-91,60,1025
272,UFCA 1711E V4,30095-91,F,1675
273,UFCA 1711E V4,30095-91,I,1875
274,UFCA 1711E V4,30095-96,10,825
275,UFCA 1711E V4,30095-96,20,865
276,UFCA 1711E V4,30095-96,30,895
277,UFCA 1711E V4,30095-96,40,925
278,UFCA 1711E V4,30095-96,50,975
279,UFCA 1711E V4,30095-96,60,1025
281,UFCA 1711E V4,30095-96,F,1675
282,UFCA 1711E V4,30095-96,I,1875
283,UFCA 1711E V4,30095-97,10,825
284,UFCA 1711E V4,30095-97,20,865
285,UFCA 1711E V4,30095-97,30,895
286,UFCA 1711E V4,30095-97,40,925
287,UFCA 1711E V4,30095-97,50,975
288,UFCA 1711E V4,30095-97,60,1025
290,UFCA 1711E V4,30095-97,F,1675
291,UFCA 1711E V4,30095-97,I,1875
292,UFCA 1711E V4,30095-S3,10,950
293,UFCA 1711E V4,30095-S3,20,990
294,UFCA 1711E V4,30095-S3,30,1020
295,UFCA 1711E V4,30095-S3,40,1050
296,UFCA 1711E V4,30095-S3,50,1100
297,UFCA 1711E V4,30095-S3,60,1150
299,UFCA 1711E V4,30095-S3,F,1800
300,UFCA 1711E V4,30095-S3,I,2000
301,UFCA 1711E V4,30095-01,10,950
302,UFCA 1711E V4,30095-01,20,990
303,UFCA 1711E V4,30095-01,30,"1,020"
304,UFCA 1711E V4,30095-01,40,"1,050"
305,UFCA 1711E V4,30095-01,50,"1,100"
306,UFCA 1711E V4,30095-01,60,"1,150"
308,UFCA 1711E V4,30095-01,F,"1,800"
309,UFCA 1711E V4,30095-01,I,2000
310,UFCA 1711E V4,30095-02,10,500
311,UFCA 1711E V4,30095-02,20,520
312,UFCA 1711E V4,30095-02,30,535
313,UFCA 1711E V4,30095-02,40,555
314,UFCA 1711E V4,30095-02,50,575
315,UFCA 1711E V4,30095-02,60,595
317,UFCA 1711E V4,30095-02,F,925
318,UFCA 1711E V4,30095-02,I,1000
319,UFCA 1711E V4,30095-03,10,900
320,UFCA 1711E V4,30095-03,20,940
321,UFCA 1711E V4,30095-03,30,970
322,UFCA 1711E V4,30095-03,40,"1,000"
323,UFCA 1711E V4,30095-03,50,"1,050"
324,UFCA 1711E V4,30095-03,60,"1,100"
326,UFCA 1711E V4,30095-03,F,"1,750"
327,UFCA 1711E V4,30095-03,I,1950
328,UFCA 1711E V4,30095-04,10,425
329,UFCA 1711E V4,30095-04,20,445
330,UFCA 1711E V4,30095-04,30,460
331,UFCA 1711E V4,30095-04,40,480
332,UFCA 1711E V4,30095-04,50,500
333,UFCA 1711E V4,30095-04,60,520
335,UFCA 1711E V4,30095-04,F,765
336,UFCA 1711E V4,30095-04,I,825
337,UFCA 1711E V4,30095-24,10,450
338,UFCA 1711E V4,30095-24,20,470
339,UFCA 1711E V4,30095-24,30,485
340,UFCA 1711E V4,30095-24,40,505
341,UFCA 1711E V4,30095-24,50,525
342,UFCA 1711E V4,30095-24,60,545
344,UFCA 1711E V4,30095-24,F,790
345,UFCA 1711E V4,30095-24,I,850
346,UFCA 1711E V4,30095-91,10,925
347,UFCA 1711E V4,30095-91,20,965
348,UFCA 1711E V4,30095-91,30,995
349,UFCA 1711E V4,30095-91,40,"1,025"
350,UFCA 1711E V4,30095-91,50,"1,075"
351,UFCA 1711E V4,30095-91,60,"1,125"
353,UFCA 1711E V4,30095-91,F,"1,775"
354,UFCA 1711E V4,30095-91,I,1975
355,UFCA 1711E V4,30095-S3,10,"1,050"
356,UFCA 1711E V4,30095-S3,20,"1,090"
357,UFCA 1711E V4,30095-S3,30,"1,120"
358,UFCA 1711E V4,30095-S3,40,"1,150"
359,UFCA 1711E V4,30095-S3,50,"1,200"
360,UFCA 1711E V4,30095-S3,60,"1,250"
362,UFCA 1711E V4,30095-S3,F,"1,900"
363,UFCA 1711E V4,30095-S3,I,2100
364,UFCA 1711E V4,30195-01,10,850
365,UFCA 1711E V4,30195-01,20,890
366,UFCA 1711E V4,30195-01,30,920
367,UFCA 1711E V4,30195-01,40,950
368,UFCA 1711E V4,30195-01,50,1000
369,UFCA 1711E V4,30195-01,60,1050
371,UFCA 1711E V4,30195-01,F,1700
372,UFCA 1711E V4,30195-01,I,1900
373,UFCA 1711E V4,30195-02,10,400
374,UFCA 1711E V4,30195-02,20,420
375,UFCA 1711E V4,30195-02,30,435
376,UFCA 1711E V4,30195-02,40,455
377,UFCA 1711E V4,30195-02,50,475
378,UFCA 1711E V4,30195-02,60,495
380,UFCA 1711E V4,30195-02,F,825
381,UFCA 1711E V4,30195-02,I,900
382,UFCA 1711E V4,30195-03,10,800
383,UFCA 1711E V4,30195-03,20,840
384,UFCA 1711E V4,30195-03,30,870
385,UFCA 1711E V4,30195-03,40,900
386,UFCA 1711E V4,30195-03,50,950
