,PriceList,Catalog,GradeGroup,Price
693,UFCA 1711E V4,30148-87,60,1550
695,UFCA 1711E V4,30148-87,F,2200
696,UFCA 1711E V4,30148-87,I,2350
697,UFCA 1711E V4,30148-S3,10,1400
698,UFCA 1711E V4,30148-S3,20,1440
699,UFCA 1711E V4,30148-S3,30,1470
700,UFCA 1711E V4,30148-S3,40,1500
701,UFCA 1711E V4,30148-S3,50,1550
702,UFCA 1711E V4,30148-S3,60,1600
704,UFCA 1711E V4,30148-S3,F,2250
705,UFCA 1711E V4,30148-S3,I,2400
706,UFCA 1711E V4,30148-65,10,45
707,UFCA 1711E V4,30148-65,20,50
708,UFCA 1711E V4,30148-65,30,55
709,UFCA 1711E V4,30148-65,40,60
710,UFCA 1711E V4,30148-65,50,70
711,UFCA 1711E V4,30148-65,60,80
713,UFCA 1711E V4,30148-65,F,215
714,UFCA 1711E V4,30148-65,I,245
715,UFCA 1711E V4,30148-66,10,50
716,UFCA 1711E V4,30148-66,20,55
717,UFCA 1711E V4,30148-66,30,60
718,UFCA 1711E V4,30148-66,40,65
719,UFCA 1711E V4,30148-66,50,75
720,UFCA 1711E V4,30148-66,60,85
722,UFCA 1711E V4,30148-66,F,220
723,UFCA 1711E V4,30148-66,I,250
724,UFCA 1711E V4,30159-SC,10,725
725,UFCA 1711E V4,30159-SC,20,765
726,UFCA 1711E V4,30159-SC,30,795
727,UFCA 1711E V4,30159-SC,40,825
728,UFCA 1711E V4,30159-SC,50,875
729,UFCA 1711E V4,30159-SC,60,925
731,UFCA 1711E V4,30159-SC,F,1150
732,UFCA 1711E V4,30159-SC,I,1225
733,UFCA 1711E V4,30159-SS,10,475
734,UFCA 1711E V4,30159-SS,20,515
735,UFCA 1711E V4,30159-SS,30,545
736,UFCA 1711E V4,30159-SS,40,575
737,UFCA 1711E V4,30159-SS,50,625
738,UFCA 1711E V4,30159-SS,60,675
740,UFCA 1711E V4,30159-SS,F,900
741,UFCA 1711E V4,30159-SS,I,975
742,UFCA 1711E V4,30159-DC,10,775
743,UFCA 1711E V4,30159-DC,20,815
744,UFCA 1711E V4,30159-DC,30,845
745,UFCA 1711E V4,30159-DC,40,875
746,UFCA 1711E V4,30159-DC,50,925
747,UFCA 1711E V4,30159-DC,60,975
749,UFCA 1711E V4,30159-DC,F,1200
750,UFCA 1711E V4,30159-DC,I,1275
751,UFCA 1711E V4,30159-DS,10,575
752,UFCA 1711E V4,30159-DS,20,615
753,UFCA 1711E V4,30159-DS,30,645
754,UFCA 1711E V4,30159-DS,40,675
755,UFCA 1711E V4,30159-DS,50,725
756,UFCA 1711E V4,30159-DS,60,775
758,UFCA 1711E V4,30159-DS,F,1000
759,UFCA 1711E V4,30159-DS,I,1075
760,UFCA 1711E V4,30159-DR,10,550
761,UFCA 1711E V4,30159-DR,20,590
762,UFCA 1711E V4,30159-DR,30,620
763,UFCA 1711E V4,30159-DR,40,650
764,UFCA 1711E V4,30159-DR,50,700
765,UFCA 1711E V4,30159-DR,60,750
767,UFCA 1711E V4,30159-DR,F,975
768,UFCA 1711E V4,30159-DR,I,1050
769,UFCA 1711E V4,30159-DL,10,550
770,UFCA 1711E V4,30159-DL,20,590
771,UFCA 1711E V4,30159-DL,30,620
772,UFCA 1711E V4,30159-DL,40,650
773,UFCA 1711E V4,30159-DL,50,700
774,UFCA 1711E V4,30159-DL,60,750
776,UFCA 1711E V4,30159-DL,F,975
777,UFCA 1711E V4,30159-DL,I,1050
778,UFCA 1711E V4,30159-DA,10,525
779,UFCA 1711E V4,30159-DA,20,565
780,UFCA 1711E V4,30159-DA,30,595
781,UFCA 1711E V4,30159-DA,40,625
782,UFCA 1711E V4,30159-DA,50,675
783,UFCA 1711E V4,30159-DA,60,725
785,UFCA 1711E V4,30159-DA,F,950
786,UFCA 1711E V4,30159-DA,I,1025
787,UFCA 1711E V4,30159-QC,10,800
788,UFCA 1711E V4,30159-QC,20,840
789,UFCA 1711E V4,30159-QC,30,870
790,UFCA 1711E V4,30159-QC,40,900
791,UFCA 1711E V4,30159-QC,50,950
792,UFCA 1711E V4,30159-QC,60,1000
794,UFCA 1711E V4,30159-QC,F,1225
795,UFCA 1711E V4,30159-QC,I,1300
796,UFCA 1711E V4,30159-QS,10,600
797,UFCA 1711E V4,30159-QS,20,640
798,UFCA 1711E V4,30159-QS,30,670
799,UFCA 1711E V4,30159-QS,40,700
800,UFCA 1711E V4,30159-QS,50,750
801,UFCA 1711E V4,30159-QS,60,800
803,UFCA 1711E V4,30159-QS,F,1025
804,UFCA 1711E V4,30159-QS,I,1100
805,UFCA 1711E V4,30159-QR,10,575
806,UFCA 1711E V4,30159-QR,20,615
807,UFCA 1711E V4,30159-QR,30,645
808,UFCA 1711E V4,30159-QR,40,675
809,UFCA 1711E V4,30159-QR,50,725
810,UFCA 1711E V4,30159-QR,60,775
812,UFCA 1711E V4,30159-QR,F,1000
813,UFCA 1711E V4,30159-QR,I,1075
814,UFCA 1711E V4,30159-QL,10,575
815,UFCA 1711E V4,30159-QL,20,615
816,UFCA 1711E V4,30159-QL,30,645
817,UFCA 1711E V4,30159-QL,40,675
818,UFCA 1711E V4,30159-QL,50,725
819,UFCA 1711E V4,30159-QL,60,775
821,UFCA 1711E V4,30159-QL,F,1000
822,UFCA 1711E V4,30159-QL,I,1075
823,UFCA 1711E V4,30159-QA,10,550
824,UFCA 1711E V4,30159-QA,20,590
825,UFCA 1711E V4,30159-QA,30,620
826,UFCA 1711E V4,30159-QA,40,650
827,UFCA 1711E V4,30159-QA,50,700
828,UFCA 1711E V4,30159-QA,60,750
830,UFCA 1711E V4,30159-QA,F,975
831,UFCA 1711E V4,30159-QA,I,1050
832,UFCA 1711E V4,30159-01,10,1050
833,UFCA 1711E V4,30159-01,20,1090
834,UFCA 1711E V4,30159-01,30,1120
835,UFCA 1711E V4,30159-01,40,1150
836,UFCA 1711E V4,30159-01,50,1200
837,UFCA 1711E V4,30159-01,60,1250
839,UFCA 1711E V4,30159-01,F,1900
840,UFCA 1711E V4,30159-01,I,2050
841,UFCA 1711E V4,30159-02,10,650
842,UFCA 1711E V4,30159-02,20,670
843,UFCA 1711E V4,30159-02,30,685
844,UFCA 1711E V4,30159-02,40,705
845,UFCA 1711E V4,30159-02,50,725
846,UFCA 1711E V4,30159-02,60,745
848,UFCA 1711E V4,30159-02,F,1075
849,UFCA 1711E V4,30159-02,I,1150
850,UFCA 1711E V4,30159-03,10,925
851,UFCA 1711E V4,30159-03,20,965
852,UFCA 1711E V4,30159-03,30,995
853,UFCA 1711E V4,30159-03,40,1025
854,UFCA 1711E V4,30159-03,50,1075
855,UFCA 1711E V4,30159-03,60,1125
857,UFCA 1711E V4,30159-03,F,1775
858,UFCA 1711E V4,30159-03,I,1925
859,UFCA 1711E V4,30159-07,10,825
860,UFCA 1711E V4,30159-07,20,865
861,UFCA 1711E V4,30159-07,30,895
862,UFCA 1711E V4,30159-07,40,925
863,UFCA 1711E V4,30159-07,50,975
864,UFCA 1711E V4,30159-07,60,1025
866,UFCA 1711E V4,30159-07,F,1675
867,UFCA 1711E V4,30159-07,I,1825
868,UFCA 1711E V4,30159-08,10,825
869,UFCA 1711E V4,30159-08,20,865
870,UFCA 1711E V4,30159-08,30,895
871,UFCA 1711E V4,30159-08,40,925
872,UFCA 1711E V4,30159-08,50,975
873,UFCA 1711E V4,30159-08,60,1025
875,UFCA 1711E V4,30159-08,F,1675
876,UFCA 1711E V4,30159-08,I,1825
877,UFCA 1711E V4,30159-09,10,550
878,UFCA 1711E V4,30159-09,20,570
879,UFCA 1711E V4,30159-09,30,585
880,UFCA 1711E V4,30159-09,40,620
881,UFCA 1711E V4,30159-09,50,655
882,UFCA 1711E V4,30159-09,60,690
884,UFCA 1711E V4,30159-09,F,1145
885,UFCA 1711E V4,30159-09,I,1250
886,UFCA 1711E V4,30159-10,10,525
887,UFCA 1711E V4,30159-10,20,545
888,UFCA 1711E V4,30159-10,30,560
889,UFCA 1711E V4,30159-10,40,580
890,UFCA 1711E V4,30159-10,50,600
891,UFCA 1711E V4,30159-10,60,620
893,UFCA 1711E V4,30159-10,F,865
894,UFCA 1711E V4,30159-10,I,925
895,UFCA 1711E V4,30159-11,10,575
896,UFCA 1711E V4,30159-11,20,595
897,UFCA 1711E V4,30159-11,30,610
898,UFCA 1711E V4,30159-11,40,645
899,UFCA 1711E V4,30159-11,50,680
900,UFCA 1711E V4,30159-11,60,715
902,UFCA 1711E V4,30159-11,F,1170
903,UFCA 1711E V4,30159-11,I,1275
904,UFCA 1711E V4,30159-12,10,575
905,UFCA 1711E V4,30159-12,20,595
906,UFCA 1711E V4,30159-12,30,610
907,UFCA 1711E V4,30159-12,40,645
908,UFCA 1711E V4,30159-12,50,680
909,UFCA 1711E V4,30159-12,60,715
911,UFCA 1711E V4,30159-12,F,1170
912,UFCA 1711E V4,30159-12,I,1275
913,UFCA 1711E V4,30159-14,10,750
914,UFCA 1711E V4,30159-14,20,770
915,UFCA 1711E V4,30159-14,30,785
916,UFCA 1711E V4,30159-14,40,800
917,UFCA 1711E V4,30159-14,50,820
918,UFCA 1711E V4,30159-14,60,840
920,UFCA 1711E V4,30159-14,F,1430
921,UFCA 1711E V4,30159-14,I,1550
922,UFCA 1711E V4,30159-15,10,730
923,UFCA 1711E V4,30159-15,20,770
924,UFCA 1711E V4,30159-15,30,800
925,UFCA 1711E V4,30159-15,40,830
926,UFCA 1711E V4,30159-15,50,880
927,UFCA 1711E V4,30159-15,60,930
929,UFCA 1711E V4,30159-15,F,1580
930,UFCA 1711E V4,30159-15,I,1730
931,UFCA 1711E V4,30159-16,10,730
932,UFCA 1711E V4,30159-16,20,770
933,UFCA 1711E V4,30159-16,30,800
934,UFCA 1711E V4,30159-16,40,830
935,UFCA 1711E V4,30159-16,50,880
936,UFCA 1711E V4,30159-16,60,930
938,UFCA 1711E V4,30159-16,F,1580
939,UFCA 1711E V4,30159-16,I,1730
940,UFCA 1711E V4,30159-17,10,830
941,UFCA 1711E V4,30159-17,20,870
942,UFCA 1711E V4,30159-17,30,900
943,UFCA 1711E V4,30159-17,40,930
944,UFCA 1711E V4,30159-17,50,980
945,UFCA 1711E V4,30159-17,60,1030
947,UFCA 1711E V4,30159-17,F,1680
948,UFCA 1711E V4,30159-17,I,1830
949,UFCA 1711E V4,30159-18,10,830
950,UFCA 1711E V4,30159-18,20,870
951,UFCA 1711E V4,30159-18,30,900
952,UFCA 1711E V4,30159-18,40,930
953,UFCA 1711E V4,30159-18,50,980
954,UFCA 1711E V4,30159-18,60,1030
956,UFCA 1711E V4,30159-18,F,1680
957,UFCA 1711E V4,30159-18,I,1830
958,UFCA 1711E V4,30159-35,10,730
959,UFCA 1711E V4,30159-35,20,770
960,UFCA 1711E V4,30159-35,30,800
961,UFCA 1711E V4,30159-35,40,830
962,UFCA 1711E V4,30159-35,50,880
963,UFCA 1711E V4,30159-35,60,930
965,UFCA 1711E V4,30159-35,F,1410
966,UFCA 1711E V4,30159-35,I,1530
967,UFCA 1711E V4,30159-36,10,730
968,UFCA 1711E V4,30159-36,20,770
969,UFCA 1711E V4,30159-36,30,800
970,UFCA 1711E V4,30159-36,40,830
971,UFCA 1711E V4,30159-36,50,880
972,UFCA 1711E V4,30159-36,60,930
974,UFCA 1711E V4,30159-36,F,1410
975,UFCA 1711E V4,30159-36,I,1530
976,UFCA 1711E V4,30159-86,10,950
977,UFCA 1711E V4,30159-86,20,990
978,UFCA 1711E V4,30159-86,30,1020
979,UFCA 1711E V4,30159-86,40,1050
980,UFCA 1711E V4,30159-86,50,1100
981,UFCA 1711E V4,30159-86,60,1150
983,UFCA 1711E V4,30159-86,F,1800
984,UFCA 1711E V4,30159-86,I,1950
985,UFCA 1711E V4,30159-87,10,950
986,UFCA 1711E V4,30159-87,20,990
987,UFCA 1711E V4,30159-87,30,1020
988,UFCA 1711E V4,30159-87,40,1050
989,UFCA 1711E V4,30159-87,50,1100
990,UFCA 1711E V4,30159-87,60,1150
992,UFCA 1711E V4,30159-87,F,1800
993,UFCA 1711E V4,30159-87,I,1950
994,UFCA 1711E V4,30159-92,10,850
995,UFCA 1711E V4,30159-92,20,890
996,UFCA 1711E V4,30159-92,30,920
997,UFCA 1711E V4,30159-92,40,950
998,UFCA 1711E V4,30159-92,50,1000
999,UFCA 1711E V4,30159-92,60,1050
1001,UFCA 1711E V4,30159-92,F,1700
1002,UFCA 1711E V4,30159-92,I,1850
1003,UFCA 1711E V4,30159-94,10,400
1004,UFCA 1711E V4,30159-94,20,420
1005,UFCA 1711E V4,30159-94,30,435
1006,UFCA 1711E V4,30159-94,40,455
1007,UFCA 1711E V4,30159-94,50,475
1008,UFCA 1711E V4,30159-94,60,495
1010,UFCA 1711E V4,30159-94,F,675
1011,UFCA 1711E V4,30159-94,I,735
1012,UFCA 1711E V4,30160-SC,10,725
1013,UFCA 1711E V4,30160-SC,20,765
1014,UFCA 1711E V4,30160-SC,30,795
1015,UFCA 1711E V4,30160-SC,40,825
1016,UFCA 1711E V4,30160-SC,50,875
1017,UFCA 1711E V4,30160-SC,60,925
1019,UFCA 1711E V4,30160-SC,F,1150
1020,UFCA 1711E V4,30160-SC,I,1225
1021,UFCA 1711E V4,30160-SS,10,475
1022,UFCA 1711E V4,30160-SS,20,515
1023,UFCA 1711E V4,30160-SS,30,545
1024,UFCA 1711E V4,30160-SS,40,575
1025,UFCA 1711E V4,30160-SS,50,625
1026,UFCA 1711E V4,30160-SS,60,675
1028,UFCA 1711E V4,30160-SS,F,900
1029,UFCA 1711E V4,30160-SS,I,975
1030,UFCA 1711E V4,30160-DC,10,775
1031,UFCA 1711E V4,30160-DC,20,815
1032,UFCA 1711E V4,30160-DC,30,845
1033,UFCA 1711E V4,30160-DC,40,875
1034,UFCA 1711E V4,30160-DC,50,925
1035,UFCA 1711E V4,30160-DC,60,975
1037,UFCA 1711E V4,30160-DC,F,1200
1038,UFCA 1711E V4,30160-DC,I,1275
1039,UFCA 1711E V4,30160-DS,10,575
1040,UFCA 1711E V4,30160-DS,20,615
1041,UFCA 1711E V4,30160-DS,30,645
1042,UFCA 1711E V4,30160-DS,40,675
1043,UFCA 1711E V4,30160-DS,50,725
1044,UFCA 1711E V4,30160-DS,60,775
1046,UFCA 1711E V4,30160-DS,F,1000
1047,UFCA 1711E V4,30160-DS,I,1075
1048,UFCA 1711E V4,30160-DR,10,550
1049,UFCA 1711E V4,30160-DR,20,590
1050,UFCA 1711E V4,30160-DR,30,620
1051,UFCA 1711E V4,30160-DR,40,650
1052,UFCA 1711E V4,30160-DR,50,700
1053,UFCA 1711E V4,30160-DR,60,750
1055,UFCA 1711E V4,30160-DR,F,975
1056,UFCA 1711E V4,30160-DR,I,1050
1057,UFCA 1711E V4,30160-DL,10,550
1058,UFCA 1711E V4,30160-DL,20,590
1059,UFCA 1711E V4,30160-DL,30,620
1060,UFCA 1711E V4,30160-DL,40,650
1061,UFCA 1711E V4,30160-DL,50,700
1062,UFCA 1711E V4,30160-DL,60,750
1064,UFCA 1711E V4,30160-DL,F,975
1065,UFCA 1711E V4,30160-DL,I,1050
1066,UFCA 1711E V4,30160-DA,10,525
1067,UFCA 1711E V4,30160-DA,20,565
1068,UFCA 1711E V4,30160-DA,30,595
1069,UFCA 1711E V4,30160-DA,40,625
1070,UFCA 1711E V4,30160-DA,50,675
1071,UFCA 1711E V4,30160-DA,60,725
1073,UFCA 1711E V4,30160-DA,F,950
1074,UFCA 1711E V4,30160-DA,I,1025
1075,UFCA 1711E V4,30160-QC,10,800
1076,UFCA 1711E V4,30160-QC,20,840
1077,UFCA 1711E V4,30160-QC,30,870
1078,UFCA 1711E V4,30160-QC,40,900
1079,UFCA 1711E V4,30160-QC,50,950
1080,UFCA 1711E V4,30160-QC,60,1000
1082,UFCA 1711E V4,30160-QC,F,1225
1083,UFCA 1711E V4,30160-QC,I,1300
1084,UFCA 1711E V4,30160-QS,10,600
1085,UFCA 1711E V4,30160-QS,20,640
1086,UFCA 1711E V4,30160-QS,30,670
1087,UFCA 1711E V4,30160-QS,40,700
1088,UFCA 1711E V4,30160-QS,50,750
1089,UFCA 1711E V4,30160-QS,60,800
1091,UFCA 1711E V4,30160-QS,F,1025
1092,UFCA 1711E V4,30160-QS,I,1100
1093,UFCA 1711E V4,30160-QR,10,575
1094,UFCA 1711E V4,30160-QR,20,615
1095,UFCA 1711E V4,30160-QR,30,645
1096,UFCA 1711E V4,30160-QR,40,675
1097,UFCA 1711E V4,30160-QR,50,725
1098,UFCA 1711E V4,30160-QR,60,775
1100,UFCA 1711E V4,30160-QR,F,1000
1101,UFCA 1711E V4,30160-QR,I,1075
1102,UFCA 1711E V4,30160-QL,10,575
1103,UFCA 1711E V4,30160-QL,20,615
1104,UFCA 1711E V4,30160-QL,30,645
1105,UFCA 1711E V4,30160-QL,40,675
1106,UFCA 1711E V4,30160-QL,50,725
1107,UFCA 1711E V4,30160-QL,60,775
1109,UFCA 1711E V4,30160-QL,F,1000
1110,UFCA 1711E V4,30160-QL,I,1075
1111,UFCA 1711E V4,30160-QA,10,550
1112,UFCA 1711E V4,30160-QA,20,590
1113,UFCA 1711E V4,30160-QA,30,620
1114,UFCA 1711E V4,30160-QA,40,650
1115,UFCA 1711E V4,30160-QA,50,700
1116,UFCA 1711E V4,30160-QA,60,750
1118,UFCA 1711E V4,30160-QA,F,975
1119,UFCA 1711E V4,30160-QA,I,1050
1120,UFCA 1711E V4,30160-01,10,1050
1121,UFCA 1711E V4,30160-01,20,1090
1122,UFCA 1711E V4,30160-01,30,1120
1123,UFCA 1711E V4,30160-01,40,1150
1124,UFCA 1711E V4,30160-01,50,1200
1125,UFCA 1711E V4,30160-01,60,1250
1127,UFCA 1711E V4,30160-01,F,1900
1128,UFCA 1711E V4,30160-01,I,2050
1129,UFCA 1711E V4,30160-02,10,650
1130,UFCA 1711E V4,30160-02,20,670
1131,UFCA 1711E V4,30160-02,30,685
1132,UFCA 1711E V4,30160-02,40,705
1133,UFCA 1711E V4,30160-02,50,725
1134,UFCA 1711E V4,30160-02,60,745
1136,UFCA 1711E V4,30160-02,F,1075
1137,UFCA 1711E V4,30160-02,I,1150
1138,UFCA 1711E V4,30160-03,10,925
1139,UFCA 1711E V4,30160-03,20,965
1140,UFCA 1711E V4,30160-03,30,995
1141,UFCA 1711E V4,30160-03,40,1025
1142,UFCA 1711E V4,30160-03,50,1075
1143,UFCA 1711E V4,30160-03,60,1125
1145,UFCA 1711E V4,30160-03,F,1775
1146,UFCA 1711E V4,30160-03,I,1925
1147,UFCA 1711E V4,30160-07,10,825
1148,UFCA 1711E V4,30160-07,20,865
1149,UFCA 1711E V4,30160-07,30,895
1150,UFCA 1711E V4,30160-07,40,925
1151,UFCA 1711E V4,30160-07,50,975
1152,UFCA 1711E V4,30160-07,60,1025
1154,UFCA 1711E V4,30160-07,F,1675
1155,UFCA 1711E V4,30160-07,I,1825
1156,UFCA 1711E V4,30160-08,10,825
1157,UFCA 1711E V4,30160-08,20,865
1158,UFCA 1711E V4,30160-08,30,895
1159,UFCA 1711E V4,30160-08,40,925
1160,UFCA 1711E V4,30160-08,50,975
1161,UFCA 1711E V4,30160-08,60,1025
1163,UFCA 1711E V4,30160-08,F,1675
1164,UFCA 1711E V4,30160-08,I,1825
1165,UFCA 1711E V4,30160-09,10,550
1166,UFCA 1711E V4,30160-09,20,570
1167,UFCA 1711E V4,30160-09,30,585
1168,UFCA 1711E V4,30160-09,40,620
1169,UFCA 1711E V4,30160-09,50,655
1170,UFCA 1711E V4,30160-09,60,690
1172,UFCA 1711E V4,30160-09,F,1145
1173,UFCA 1711E V4,30160-09,I,1250
1174,UFCA 1711E V4,30160-10,10,525
1175,UFCA 1711E V4,30160-10,20,545
1176,UFCA 1711E V4,30160-10,30,560
1177,UFCA 1711E V4,30160-10,40,580
1178,UFCA 1711E V4,30160-10,50,600
1179,UFCA 1711E V4,30160-10,60,620
1181,UFCA 1711E V4,30160-10,F,865
1182,UFCA 1711E V4,30160-10,I,925
1183,UFCA 1711E V4,30160-11,10,575
1184,UFCA 1711E V4,30160-11,20,595
1185,UFCA 1711E V4,30160-11,30,610
1186,UFCA 1711E V4,30160-11,40,645
1187,UFCA 1711E V4,30160-11,50,680
1188,UFCA 1711E V4,30160-11,60,715
1190,UFCA 1711E V4,30160-11,F,1170
1191,UFCA 1711E V4,30160-11,I,1275
1192,UFCA 1711E V4,30160-12,10,575
1193,UFCA 1711E V4,30160-12,20,595
1194,UFCA 1711E V4,30160-12,30,610
1195,UFCA 1711E V4,30160-12,40,645
1196,UFCA 1711E V4,30160-12,50,680
1197,UFCA 1711E V4,30160-12,60,715
1199,UFCA 1711E V4,30160-12,F,1170
1200,UFCA 1711E V4,30160-12,I,1275
1201,UFCA 1711E V4,30160-14,10,750
1202,UFCA 1711E V4,30160-14,20,770
1203,UFCA 1711E V4,30160-14,30,785
1204,UFCA 1711E V4,30160-14,40,800
1205,UFCA 1711E V4,30160-14,50,820
1206,UFCA 1711E V4,30160-14,60,840
1208,UFCA 1711E V4,30160-14,F,1430
1209,UFCA 1711E V4,30160-14,I,1550
1210,UFCA 1711E V4,30160-15,10,730
1211,UFCA 1711E V4,30160-15,20,770
1212,UFCA 1711E V4,30160-15,30,800
1213,UFCA 1711E V4,30160-15,40,830
1214,UFCA 1711E V4,30160-15,50,880
1215,UFCA 1711E V4,30160-15,60,930
1217,UFCA 1711E V4,30160-15,F,1580
1218,UFCA 1711E V4,30160-15,I,1730
1219,UFCA 1711E V4,30160-16,10,730
1220,UFCA 1711E V4,30160-16,20,770
1221,UFCA 1711E V4,30160-16,30,800
1222,UFCA 1711E V4,30160-16,40,830
1223,UFCA 1711E V4,30160-16,50,880
1224,UFCA 1711E V4,30160-16,60,930
1226,UFCA 1711E V4,30160-16,F,1580
1227,UFCA 1711E V4,30160-16,I,1730
1228,UFCA 1711E V4,30160-17,10,830
1229,UFCA 1711E V4,30160-17,20,870
1230,UFCA 1711E V4,30160-17,30,900
1231,UFCA 1711E V4,30160-17,40,930
1232,UFCA 1711E V4,30160-17,50,980
1233,UFCA 1711E V4,30160-17,60,1030
1235,UFCA 1711E V4,30160-17,F,1680
1236,UFCA 1711E V4,30160-17,I,1830
1237,UFCA 1711E V4,30160-18,10,830
1238,UFCA 1711E V4,30160-18,20,870
1239,UFCA 1711E V4,30160-18,30,900
1240,UFCA 1711E V4,30160-18,40,930
1241,UFCA 1711E V4,30160-18,50,980
1242,UFCA 1711E V4,30160-18,60,1030
1244,UFCA 1711E V4,30160-18,F,1680
1245,UFCA 1711E V4,30160-18,I,1830
1246,UFCA 1711E V4,30160-35,10,730
1247,UFCA 1711E V4,30160-35,20,770
1248,UFCA 1711E V4,30160-35,30,800
1249,UFCA 1711E V4,30160-35,40,830
1250,UFCA 1711E V4,30160-35,50,880
1251,UFCA 1711E V4,30160-35,60,930
1253,UFCA 1711E V4,30160-35,F,1410
1254,UFCA 1711E V4,30160-35,I,1530
1255,UFCA 1711E V4,30160-36,10,730
1256,UFCA 1711E V4,30160-36,20,770
1257,UFCA 1711E V4,30160-36,30,800
1258,UFCA 1711E V4,30160-36,40,830
1259,UFCA 1711E V4,30160-36,50,880
1260,UFCA 1711E V4,30160-36,60,930
1262,UFCA 1711E V4,30160-36,F,1410
1263,UFCA 1711E V4,30160-36,I,1530
1264,UFCA 1711E V4,30160-86,10,950
1265,UFCA 1711E V4,30160-86,20,990
1266,UFCA 1711E V4,30160-86,30,1020
1267,UFCA 1711E V4,30160-86,40,1050
1268,UFCA 1711E V4,30160-86,50,1100
1269,UFCA 1711E V4,30160-86,60,1150
1271,UFCA 1711E V4,30160-86,F,1800
1272,UFCA 1711E V4,30160-86,I,1950
1273,UFCA 1711E V4,30160-87,10,950
1274,UFCA 1711E V4,30160-87,20,990
1275,UFCA 1711E V4,30160-87,30,1020
1276,UFCA 1711E V4,30160-87,40,1050
1277,UFCA 1711E V4,30160-87,50,1100
1278,UFCA 1711E V4,30160-87,60,1150
1280,UFCA 1711E V4,30160-87,F,1800
1281,UFCA 1711E V4,30160-87,I,1950
1282,UFCA 1711E V4,30160-92,10,850
1283,UFCA 1711E V4,30160-92,20,890
1284,UFCA 1711E V4,30160-92,30,920
1285,UFCA 1711E V4,30160-92,40,950
1286,UFCA 1711E V4,30160-92,50,1000
1287,UFCA 1711E V4,30160-92,60,1050
1289,UFCA 1711E V4,30160-92,F,1700
1290,UFCA 1711E V4,30160-92,I,1850
1291,UFCA 1711E V4,30160-94,10,400
1292,UFCA 1711E V4,30160-94,20,420
1293,UFCA 1711E V4,30160-94,30,435
1294,UFCA 1711E V4,30160-94,40,455
1295,UFCA 1711E V4,30160-94,50,475
1296,UFCA 1711E V4,30160-94,60,495
1298,UFCA 1711E V4,30160-94,F,675
1299,UFCA 1711E V4,30160-94,I,735
1300,UFCA 1711E V4,30148-54,10,700
1301,UFCA 1711E V4,30148-54,20,740
1302,UFCA 1711E V4,30148-54,30,770
1303,UFCA 1711E V4,30148-54,40,800
1304,UFCA 1711E V4,30148-54,50,850
1305,UFCA 1711E V4,30148-54,60,900
1307,UFCA 1711E V4,30148-54,F,1125
1308,UFCA 1711E V4,30148-54,I,1200
1309,UFCA 1711E V4,37148-01,100,1900
1310,UFCA 1711E V4,37148-01,200,1940
1311,UFCA 1711E V4,37148-01,300,1990
1312,UFCA 1711E V4,37148-01,400,2035
1313,UFCA 1711E V4,37148-01,500,2080
1314,UFCA 1711E V4,37148-01,600,2125
1315,UFCA 1711E V4,37148-01,700,2170
1316,UFCA 1711E V4,37148-01,800,2220
1318,UFCA 1711E V4,37148-03,100,1800
1319,UFCA 1711E V4,37148-03,200,1840
1320,UFCA 1711E V4,37148-03,300,1890
1321,UFCA 1711E V4,37148-03,400,1935
1322,UFCA 1711E V4,37148-03,500,1980
1323,UFCA 1711E V4,37148-03,600,2025
1324,UFCA 1711E V4,37148-03,700,2070
1325,UFCA 1711E V4,37148-03,800,2120
1327,UFCA 1711E V4,37148-07,100,1600
1328,UFCA 1711E V4,37148-07,200,1640
1329,UFCA 1711E V4,37148-07,300,1690
1330,UFCA 1711E V4,37148-07,400,1735
1331,UFCA 1711E V4,37148-07,500,1780
1332,UFCA 1711E V4,37148-07,600,1825
1333,UFCA 1711E V4,37148-07,700,1870
1334,UFCA 1711E V4,37148-07,800,1920
1336,UFCA 1711E V4,37148-08,100,1600
1337,UFCA 1711E V4,37148-08,200,1640
1338,UFCA 1711E V4,37148-08,300,1690
1339,UFCA 1711E V4,37148-08,400,1735
1340,UFCA 1711E V4,37148-08,500,1780
1341,UFCA 1711E V4,37148-08,600,1825
1342,UFCA 1711E V4,37148-08,700,1870
1343,UFCA 1711E V4,37148-08,800,1920
1345,UFCA 1711E V4,37148-09,100,750
1346,UFCA 1711E V4,37148-09,200,790
1347,UFCA 1711E V4,37148-09,300,840
1348,UFCA 1711E V4,37148-09,400,885
1349,UFCA 1711E V4,37148-09,500,930
1350,UFCA 1711E V4,37148-09,600,975
1351,UFCA 1711E V4,37148-09,700,1020
1352,UFCA 1711E V4,37148-09,800,1050
1354,UFCA 1711E V4,37148-10,100,600
1355,UFCA 1711E V4,37148-10,200,640
1356,UFCA 1711E V4,37148-10,300,690
1357,UFCA 1711E V4,37148-10,400,735
1358,UFCA 1711E V4,37148-10,500,780
1359,UFCA 1711E V4,37148-10,600,825
1360,UFCA 1711E V4,37148-10,700,870
1361,UFCA 1711E V4,37148-10,800,900
1363,UFCA 1711E V4,37148-14,100,1350
1364,UFCA 1711E V4,37148-14,200,1390
1365,UFCA 1711E V4,37148-14,300,1440
1366,UFCA 1711E V4,37148-14,400,1485
1367,UFCA 1711E V4,37148-14,500,1530
1368,UFCA 1711E V4,37148-14,600,1575
