PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,10,540,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,20,560,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,30,575,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,40,610,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,50,645,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,60,680,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,70,715,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,F,1135,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,I,1240,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,20,870,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,30,885,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,40,900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,50,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,60,940,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,70,960,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,F,1530,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-14,I,1650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-15,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-16,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-19,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-20,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,F,1530,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-35,I,1650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,F,1530,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-36,I,1650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,10,100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,20,105,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,30,110,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,40,115,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,50,125,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,60,135,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,70,140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,F,270,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-41,I,300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,10,235,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,20,255,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,30,270,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,40,290,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,50,310,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,60,330,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,70,350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,F,510,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,I,570,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,41,290,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-64,42,310,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,10,500,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,20,520,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,30,535,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,40,555,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,50,575,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,60,595,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,70,615,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,F,840,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-71,I,900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,10,280,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,20,300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,30,315,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,40,335,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,50,355,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,60,375,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,70,395,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,F,555,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,I,615,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,41,335,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-74,42,355,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,10,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,20,1190,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,30,1220,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,40,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,50,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,60,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,70,1400,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,F,2000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-01,I,2150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,10,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,20,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,30,1170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,40,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,50,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,60,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,70,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,F,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-03,I,2100,,,,,,,,,,,,,,,,,,,,,,,
