PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,20,50,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,30,55,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,40,60,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,50,65,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,60,70,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,70,75,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,F,180,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,34116-H4,I,205,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,10,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,20,1090,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,30,1120,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,40,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,50,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,60,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,70,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,F,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,I,2050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,10,550,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,20,570,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,30,585,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,40,605,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,50,625,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,60,645,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,70,665,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,F,975,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,I,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,10,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,20,990,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,30,1020,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,40,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,50,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,60,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,70,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,F,1800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,I,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,10,250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,20,270,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,30,285,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,40,305,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,50,325,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,60,345,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,70,365,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,F,590,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,I,650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,41,305,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,42,325,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,10,900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,20,940,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,30,970,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,40,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,50,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,60,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,70,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,F,1750,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-07,I,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,10,900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,20,940,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,30,970,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,40,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,50,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,60,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,70,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,F,1750,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-08,I,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,10,550,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,20,570,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,30,585,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,40,620,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,50,655,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,60,690,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,70,725,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,F,1145,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-09,I,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,10,450,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,20,470,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,30,485,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,40,505,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,50,525,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,60,545,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,70,565,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,F,790,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-10,I,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,10,750,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,20,770,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,30,785,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,40,800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,50,820,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,60,840,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,70,860,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,F,1430,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-14,I,1550,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,10,875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,20,915,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,30,945,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,40,975,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,50,1025,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,60,1075,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,70,1125,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,F,1725,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-15,I,1875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,10,875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,20,915,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,30,945,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,40,975,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,50,1025,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,60,1075,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,70,1125,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,F,1725,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-16,I,1875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,10,875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,20,915,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,30,945,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,40,975,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,50,1025,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,60,1075,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,70,1125,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,F,1555,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-35,I,1675,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,10,875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,20,915,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,30,945,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,40,975,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,50,1025,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,60,1075,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,70,1125,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,F,1555,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-36,I,1675,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,10,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,20,1190,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,30,1220,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,40,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,50,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,60,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,70,1400,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,F,2000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-39,I,2150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,10,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,20,1190,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,30,1220,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,40,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,50,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,60,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,70,1400,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,F,2000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-40,I,2150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,10,350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,20,370,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,30,385,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,40,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,50,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,60,445,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,70,465,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,F,625,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,I,685,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,41,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-64,42,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,10,350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,20,370,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,30,385,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,40,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,50,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,60,445,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,70,465,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,F,625,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,I,685,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,41,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-74,42,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,10,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,20,1090,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,30,1120,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,40,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,50,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,60,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,70,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,F,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-82,I,2050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,10,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,20,1090,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,30,1120,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,40,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,50,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,60,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,70,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,F,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-83,I,2050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,10,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,20,1090,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,30,1120,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,40,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,50,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,60,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,70,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,F,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-84,I,2050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,10,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,20,1090,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,30,1120,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,40,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,50,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,60,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,70,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,F,1900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-85,I,2050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,10,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,20,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,30,1170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,40,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,50,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,60,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,70,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,F,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-86,I,2100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,10,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,20,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,30,1170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,40,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,50,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,60,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,70,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,F,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-87,I,2100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,10,965,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,20,1005,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,30,1035,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,40,1065,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,50,1115,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,60,1165,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,70,1215,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,F,1815,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-91,I,1965,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,10,350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,20,370,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,30,385,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,40,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,50,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,60,445,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,70,465,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,F,625,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,I,685,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,41,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-93,42,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,10,350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,20,370,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,30,385,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,40,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,50,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,60,445,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,70,465,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,F,625,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,I,685,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,41,405,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-94,42,425,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,10,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,20,1240,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,30,1270,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,40,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,50,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,60,1400,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,70,1450,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,F,2050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-S3,I,2200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,10,140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,20,145,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,30,150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,40,155,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,50,160,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,60,165,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,70,170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,F,275,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H2,I,300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,10,155,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,20,160,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,30,165,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,40,170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,50,175,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,60,180,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,70,185,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,F,290,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H3,I,315,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,10,170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,20,175,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,30,180,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,40,185,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,50,190,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,60,195,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,70,200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,F,305,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-H4,I,330,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,10,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,20,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,30,1170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,40,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,50,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,60,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,70,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,F,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-01,I,2100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,10,600,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,20,620,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,30,635,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,40,655,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,50,675,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,60,695,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,70,715,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,F,1025,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-02,I,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,10,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,20,1040,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,30,1070,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,40,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,50,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,60,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,70,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,F,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-03,I,2000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,10,300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,20,320,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,30,335,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,31232-04,40,355,,,,,,,,,,,,,,,,,,,,,,,
